unix_time,human_time,x_meters,y_meters,raw_lat,raw_lon,status_quality,raw_nmea
1777317983.318187,15:26:23.318,-0.4342,0.2285,42.4463505,-76.47109413,5,"$GNGGA,192623.000,4226.781030,N,07628.265648,W,5,31,0.70,270.723,M,-33.936,M,1.0,0693*62"
1777317984.3170154,15:26:24.317,-0.4589,0.3433,42.44635153,-76.47109443,5,"$GNGGA,192624.000,4226.781092,N,07628.265666,W,5,31,0.70,270.652,M,-33.936,M,1.0,0693*66"
1777317985.3152583,15:26:25.315,-0.4767,0.3545,42.44635163,-76.47109465,5,"$GNGGA,192625.000,4226.781098,N,07628.265679,W,5,31,0.70,270.623,M,-33.936,M,1.0,0693*65"
1777317986.3713357,15:26:26.371,-0.4575,0.3285,42.4463514,-76.47109442,5,"$GNGGA,192626.000,4226.781084,N,07628.265665,W,5,31,0.59,270.705,M,-33.937,M,1.0,0693*69"
1777317987.314389,15:26:27.314,-0.4712,0.3508,42.4463516,-76.47109458,5,"$GNGGA,192627.000,4226.781096,N,07628.265675,W,5,31,0.60,270.659,M,-33.937,M,1.0,0693*68"
1777317988.321127,15:26:28.321,-0.4575,0.3674,42.44635175,-76.47109442,5,"$GNGGA,192628.000,4226.781105,N,07628.265665,W,5,31,0.68,270.737,M,-33.937,M,1.0,0693*6C"
1777317989.3393314,15:26:29.339,-0.4603,0.4952,42.4463529,-76.47109445,5,"$GNGGA,192629.000,4226.781174,N,07628.265667,W,5,31,0.60,270.717,M,-33.936,M,1.0,0693*62"
1777317992.329245,15:26:32.329,-0.4438,0.4674,42.44635265,-76.47109425,5,"$GNGGA,192632.000,4226.781159,N,07628.265655,W,5,31,0.70,270.775,M,-33.936,M,1.0,0693*63"
1777317993.3354802,15:26:33.335,-0.4699,0.6064,42.4463539,-76.47109457,5,"$GNGGA,192633.000,4226.781234,N,07628.265674,W,5,31,0.66,270.716,M,-33.936,M,1.0,0693*6B"
1777317994.373096,15:26:34.373,-0.4781,0.7601,42.44635528,-76.47109467,5,"$GNGGA,192634.000,4226.781317,N,07628.265680,W,5,31,0.59,270.856,M,-33.937,M,1.0,0693*61"
1777317995.3177118,15:26:35.317,-0.4411,0.3989,42.44635203,-76.47109422,5,"$GNGGA,192635.000,4226.781122,N,07628.265653,W,5,31,0.59,271.100,M,-33.937,M,1.0,0693*61"
1777317996.376134,15:26:36.376,-0.437,0.4545,42.44635253,-76.47109417,5,"$GNGGA,192636.000,4226.781152,N,07628.265650,W,5,31,0.59,271.129,M,-33.936,M,1.0,0693*6C"
1777317997.349667,15:26:37.349,-0.4342,0.5063,42.446353,-76.47109413,5,"$GNGGA,192637.000,4226.781180,N,07628.265648,W,5,31,0.59,271.240,M,-33.936,M,1.0,0693*67"
