unix_time,human_time,x_meters,y_meters,raw_lat,raw_lon,status_quality,raw_nmea
1777318197.2977424,15:29:57.297,0.1985,0.0578,42.4463457,-76.47109573,5,"$GNGGA,192957.000,4226.780742,N,07628.265744,W,5,30,0.73,271.305,M,-33.937,M,1.0,0693*62"
1777318198.324638,15:29:58.324,0.2122,0.0393,42.44634553,-76.47109557,5,"$GNGGA,192958.000,4226.780732,N,07628.265734,W,5,30,1.04,271.316,M,-33.937,M,1.0,0693*6E"
1777318199.2491581,15:29:59.249,0.1656,0.0893,42.44634598,-76.47109613,5,"$GNGGA,192959.000,4226.780759,N,07628.265768,W,5,30,0.62,271.288,M,-33.936,M,1.0,0694*6A"
1777318202.2947164,15:30:02.294,0.2094,0.0337,42.44634548,-76.4710956,5,"$GNGGA,193002.000,4226.780729,N,07628.265736,W,5,29,0.73,271.352,M,-33.936,M,1.0,0694*6E"
1777318203.3191545,15:30:03.319,0.2039,0.03,42.44634545,-76.47109567,5,"$GNGGA,193003.000,4226.780727,N,07628.265740,W,5,29,0.71,271.353,M,-33.936,M,1.0,0694*63"
1777318204.29564,15:30:04.295,0.1971,0.0319,42.44634547,-76.47109575,5,"$GNGGA,193004.000,4226.780728,N,07628.265745,W,5,29,0.71,271.332,M,-33.936,M,1.0,0694*69"
1777318205.2890441,15:30:05.289,0.1957,0.0282,42.44634543,-76.47109577,5,"$GNGGA,193005.000,4226.780726,N,07628.265746,W,5,29,0.72,271.338,M,-33.937,M,1.0,0694*6D"
1777318206.309682,15:30:06.309,0.193,0.0189,42.44634535,-76.4710958,5,"$GNGGA,193006.000,4226.780721,N,07628.265748,W,5,29,0.67,271.319,M,-33.936,M,1.0,0694*61"
1777318207.2988987,15:30:07.298,0.1916,0.0115,42.44634528,-76.47109582,5,"$GNGGA,193007.000,4226.780717,N,07628.265749,W,5,29,0.67,271.318,M,-33.936,M,1.0,0694*65"
1777318208.3109357,15:30:08.310,0.1998,0.006,42.44634523,-76.47109572,5,"$GNGGA,193008.000,4226.780714,N,07628.265743,W,5,29,0.72,271.350,M,-33.936,M,1.0,0694*6B"
1777318209.305533,15:30:09.305,0.1998,0.0078,42.44634525,-76.47109572,5,"$GNGGA,193009.000,4226.780715,N,07628.265743,W,5,29,0.71,271.333,M,-33.937,M,1.0,0694*6C"
1777318212.3219392,15:30:12.321,0.2149,0.0375,42.44634552,-76.47109553,5,"$GNGGA,193012.000,4226.780731,N,07628.265732,W,5,29,0.53,271.363,M,-33.936,M,1.0,0694*62"
1777318213.2866237,15:30:13.286,0.2245,0.0393,42.44634553,-76.47109542,5,"$GNGGA,193013.000,4226.780732,N,07628.265725,W,5,29,0.58,271.389,M,-33.936,M,1.0,0694*69"
1777318214.3061843,15:30:14.306,0.2259,0.03,42.44634545,-76.4710954,5,"$GNGGA,193014.000,4226.780727,N,07628.265724,W,5,29,0.58,271.377,M,-33.936,M,1.0,0694*6A"
1777318215.300402,15:30:15.300,0.219,0.03,42.44634545,-76.47109548,5,"$GNGGA,193015.000,4226.780727,N,07628.265729,W,5,29,0.62,271.347,M,-33.936,M,1.0,0694*6C"
