unix_time,human_time,x_meters,y_meters,raw_lat,raw_lon,status_quality,raw_nmea
1776535703.3210785,14:08:23.321,1.1582,3.2434,42.4463576,-76.47161297,5,"$GNGGA,180823.000,4226.781456,N,07628.296778,W,5,29,0.69,275.437,M,-33.936,M,1.0,1296*67"
1776535704.3438344,14:08:24.343,1.2623,3.9288,42.44636377,-76.4716117,5,"$GNGGA,180824.000,4226.781826,N,07628.296702,W,5,29,0.69,275.954,M,-33.937,M,1.0,1296*6F"
1776535705.313632,14:08:25.313,1.2171,3.7139,42.44636183,-76.47161225,5,"$GNGGA,180825.000,4226.781710,N,07628.296735,W,5,29,0.69,276.040,M,-33.936,M,1.0,1296*6E"
1776535706.3495169,14:08:26.349,1.213,4.3751,42.44636778,-76.4716123,5,"$GNGGA,180826.000,4226.782067,N,07628.296738,W,5,29,0.69,276.165,M,-33.936,M,1.0,1296*62"
1776535707.3156264,14:08:27.315,1.302,4.5715,42.44636955,-76.47161122,5,"$GNGGA,180827.000,4226.782173,N,07628.296673,W,5,29,0.69,276.419,M,-33.936,M,1.0,1296*67"
1776535708.3477118,14:08:28.347,1.2678,4.653,42.44637028,-76.47161163,5,"$GNGGA,180828.000,4226.782217,N,07628.296698,W,5,29,0.69,276.557,M,-33.937,M,1.0,1296*66"
1776535709.3408887,14:08:29.340,1.2198,4.6844,42.44637057,-76.47161222,5,"$GNGGA,180829.000,4226.782234,N,07628.296733,W,5,29,0.69,276.419,M,-33.936,M,1.0,1296*6C"
1776535712.340482,14:08:32.340,1.0815,4.9789,42.44637322,-76.4716139,5,"$GNGGA,180832.000,4226.782393,N,07628.296834,W,5,29,0.71,275.491,M,-33.936,M,1.0,1296*68"
1776535713.4526641,14:08:33.452,1.0596,5.0345,42.44637372,-76.47161417,5,"$GNGGA,180833.000,4226.782423,N,07628.296850,W,5,29,0.69,275.332,M,-33.936,M,1.0,1296*60"
1776535714.3297164,14:08:34.329,1.0185,5.1012,42.44637432,-76.47161467,5,"$GNGGA,180834.000,4226.782459,N,07628.296880,W,5,29,0.69,274.987,M,-33.936,M,1.0,1296*62"
1776535715.3212483,14:08:35.321,0.987,5.1734,42.44637497,-76.47161505,5,"$GNGGA,180835.000,4226.782498,N,07628.296903,W,5,29,0.71,274.965,M,-33.937,M,1.0,1296*60"
