unix_time,human_time,x_meters,y_meters,raw_lat,raw_lon,status_quality,raw_nmea
1777319076.3173819,15:44:36.317,0.3815,0.2764,42.44635082,-76.47107695,5,"$GNGGA,194436.000,4226.781049,N,07628.264617,W,5,30,0.62,274.250,M,-33.937,M,1.0,0700*6A"
1777319077.211283,15:44:37.211,0.4363,0.0616,42.44634888,-76.47107628,5,"$GNGGA,194437.000,4226.780933,N,07628.264577,W,5,30,0.71,274.334,M,-33.936,M,1.0,0700*6B"
1777319078.2470717,15:44:38.247,0.4788,0.0412,42.4463487,-76.47107577,5,"$GNGGA,194438.000,4226.780922,N,07628.264546,W,5,29,0.71,274.487,M,-33.936,M,1.0,0700*61"
1777319079.2483335,15:44:39.248,0.5185,0.5413,42.4463532,-76.47107528,5,"$GNGGA,194439.000,4226.781192,N,07628.264517,W,5,30,0.78,274.502,M,-33.936,M,1.0,0700*6B"
1777319082.239296,15:44:42.239,0.6322,0.8914,42.44635635,-76.4710739,5,"$GNGGA,194442.000,4226.781381,N,07628.264434,W,5,30,0.82,274.574,M,-33.936,M,1.0,0700*63"
1777319083.2473028,15:44:43.247,0.7993,0.6358,42.44635405,-76.47107187,5,"$GNGGA,194443.000,4226.781243,N,07628.264312,W,5,30,0.76,274.951,M,-33.936,M,1.0,0700*6E"
1777319084.2294312,15:44:44.229,0.7842,0.8321,42.44635582,-76.47107205,5,"$GNGGA,194444.000,4226.781349,N,07628.264323,W,5,30,0.80,274.887,M,-33.936,M,1.0,0700*63"
1777319085.23132,15:44:45.231,0.8719,0.6839,42.44635448,-76.47107098,5,"$GNGGA,194445.000,4226.781269,N,07628.264259,W,5,30,0.79,274.977,M,-33.936,M,1.0,0700*65"
1777319086.2348468,15:44:46.234,0.8993,0.8025,42.44635555,-76.47107065,5,"$GNGGA,194446.000,4226.781333,N,07628.264239,W,5,30,0.95,275.082,M,-33.936,M,1.0,0700*6E"
1777319087.2202458,15:44:47.220,0.8609,1.1599,42.44635877,-76.47107112,5,"$GNGGA,194447.000,4226.781526,N,07628.264267,W,5,30,0.95,275.068,M,-33.937,M,1.0,0700*63"
1777319088.2367716,15:44:48.236,0.8486,1.2044,42.44635917,-76.47107127,5,"$GNGGA,194448.000,4226.781550,N,07628.264276,W,5,30,0.96,274.965,M,-33.936,M,1.0,0700*6A"
1777319089.249795,15:44:49.249,0.8226,1.3637,42.4463606,-76.47107158,5,"$GNGGA,194449.000,4226.781636,N,07628.264295,W,5,30,0.97,274.876,M,-33.936,M,1.0,0700*67"
1777319092.249232,15:44:52.249,1.0048,0.7284,42.44635488,-76.47106937,5,"$GNGGA,194452.000,4226.781293,N,07628.264162,W,5,29,0.79,275.339,M,-33.936,M,1.0,0700*64"
1777319093.2288392,15:44:53.228,1.002,1.0303,42.4463576,-76.4710694,5,"$GNGGA,194453.000,4226.781456,N,07628.264164,W,5,30,0.60,275.150,M,-33.937,M,1.0,0700*60"
1777319094.2450628,15:44:54.245,1.065,0.7469,42.44635505,-76.47106863,5,"$GNGGA,194454.000,4226.781303,N,07628.264118,W,5,29,0.70,275.356,M,-33.936,M,1.0,0700*67"
1777319095.2198942,15:44:55.219,1.0459,1.0266,42.44635757,-76.47106887,5,"$GNGGA,194455.000,4226.781454,N,07628.264132,W,5,28,0.68,275.085,M,-33.937,M,1.0,0700*6F"
1777319096.2554765,15:44:56.255,1.002,1.0266,42.44635757,-76.4710694,5,"$GNGGA,194456.000,4226.781454,N,07628.264164,W,5,28,0.96,275.061,M,-33.936,M,1.0,0700*65"
1777319097.2241197,15:44:57.224,0.9719,1.2229,42.44635933,-76.47106977,5,"$GNGGA,194457.000,4226.781560,N,07628.264186,W,5,28,0.92,274.846,M,-33.936,M,1.0,0700*66"
1777319098.2379856,15:44:58.237,0.9459,1.5174,42.44636198,-76.47107008,5,"$GNGGA,194458.000,4226.781719,N,07628.264205,W,5,28,0.92,274.640,M,-33.936,M,1.0,0700*65"
1777319099.2192278,15:44:59.219,0.9171,1.636,42.44636305,-76.47107043,5,"$GNGGA,194459.000,4226.781783,N,07628.264226,W,5,27,0.83,274.546,M,-33.936,M,1.0,0700*6C"
1777319102.2321994,15:45:02.232,0.8418,1.573,42.44636248,-76.47107135,5,"$GNGGA,194502.000,4226.781749,N,07628.264281,W,5,27,0.80,274.539,M,-33.936,M,1.0,0700*63"
1777319103.2181306,15:45:03.218,0.865,1.4285,42.44636118,-76.47107107,5,"$GNGGA,194503.000,4226.781671,N,07628.264264,W,5,27,0.81,274.601,M,-33.937,M,1.0,0700*6B"
1777319104.2944515,15:45:04.294,0.8829,1.3285,42.44636028,-76.47107085,5,"$GNGGA,194504.000,4226.781617,N,07628.264251,W,5,27,0.63,274.605,M,-33.936,M,1.0,0700*63"
1777319105.2232826,15:45:05.223,0.8705,1.284,42.44635988,-76.471071,5,"$GNGGA,194505.000,4226.781593,N,07628.264260,W,5,27,0.63,274.550,M,-33.936,M,1.0,0700*6C"
1777319106.256741,15:45:06.256,0.8623,1.1711,42.44635887,-76.4710711,5,"$GNGGA,194506.000,4226.781532,N,07628.264266,W,5,27,0.63,274.471,M,-33.936,M,1.0,0700*60"
1777319107.233586,15:45:07.233,0.9007,1.0877,42.44635812,-76.47107063,5,"$GNGGA,194507.000,4226.781487,N,07628.264238,W,5,27,0.63,274.436,M,-33.936,M,1.0,0700*66"
1777319108.2738106,15:45:08.273,0.8472,1.0859,42.4463581,-76.47107128,5,"$GNGGA,194508.000,4226.781486,N,07628.264277,W,5,27,0.63,274.215,M,-33.936,M,1.0,0700*64"
1777319109.2513864,15:45:09.251,0.8472,0.9395,42.44635678,-76.47107128,5,"$GNGGA,194509.000,4226.781407,N,07628.264277,W,5,27,0.63,274.118,M,-33.936,M,1.0,0700*62"
1777319112.3015785,15:45:12.301,0.8746,0.858,42.44635605,-76.47107095,5,"$GNGGA,194512.000,4226.781363,N,07628.264257,W,5,27,0.61,274.101,M,-33.937,M,1.0,0700*64"
1777319113.280753,15:45:13.280,0.8938,0.8617,42.44635608,-76.47107072,5,"$GNGGA,194513.000,4226.781365,N,07628.264243,W,5,27,0.66,274.207,M,-33.936,M,1.0,0700*65"
1777319114.2586617,15:45:14.258,0.9061,0.8377,42.44635587,-76.47107057,5,"$GNGGA,194514.000,4226.781352,N,07628.264234,W,5,27,0.66,274.181,M,-33.936,M,1.0,0700*6B"
1777319115.236258,15:45:15.236,0.9404,0.7895,42.44635543,-76.47107015,5,"$GNGGA,194515.000,4226.781326,N,07628.264209,W,5,27,0.77,274.313,M,-33.936,M,1.0,0700*6E"
1777319116.2806666,15:45:16.280,0.965,0.7136,42.44635475,-76.47106985,5,"$GNGGA,194516.000,4226.781285,N,07628.264191,W,5,27,0.80,274.463,M,-33.936,M,1.0,0700*6F"
1777319117.2610455,15:45:17.261,0.9678,0.6413,42.4463541,-76.47106982,5,"$GNGGA,194517.000,4226.781246,N,07628.264189,W,5,27,0.80,274.463,M,-33.937,M,1.0,0700*69"
1777319118.2894952,15:45:18.289,0.9952,0.4783,42.44635263,-76.47106948,5,"$GNGGA,194518.000,4226.781158,N,07628.264169,W,5,27,0.59,274.540,M,-33.937,M,1.0,0700*60"
1777319119.2710767,15:45:19.271,1.0527,0.3987,42.44635192,-76.47106878,5,"$GNGGA,194519.000,4226.781115,N,07628.264127,W,5,27,0.85,274.456,M,-33.937,M,1.0,0700*65"
1777319122.290084,15:45:22.290,1.0692,0.0301,42.4463486,-76.47106858,5,"$GNGGA,194522.000,4226.780916,N,07628.264115,W,5,28,0.68,274.409,M,-33.936,M,1.0,0700*61"
